exp-17b — linger x codec with the producer flat out
date: 2026-09-22-020202
client: franz-go v1.22.0
load: as fast as the client's 10 000-record buffer allows, for 10s per cell, acks=all, 6 partitions, RF 3
payload: 200 000 generated payment events, seeded, generated before the sweep and cycled
host: Apple M1 Pro, 10 CPUs; brokers share it

  linger    batch   codec  acked/s  MB/s in  MB/s wire  wire ratio  CPU ms/MB     p50      p99  failed
      0s  default    none   280057     70.2       70.2        1.00        4.8    16ms  565.1ms       0
      0s  default  snappy   592939    148.7       44.4        3.35        4.7   7.2ms   46.5ms       0
      0s  default     lz4   782223    196.2       55.5        3.53        5.1   6.3ms   21.4ms       0
      0s  default    zstd   923277    231.6       40.1        5.78        7.5   7.3ms   24.2ms       0
    10ms  default    none   235976     59.2       59.2        1.00        5.2  20.3ms  106.6ms       0
    10ms  default  snappy   555821    139.4       41.6        3.35        4.6   7.1ms   29.9ms       0
    10ms  default     lz4   627634    157.4       44.5        3.54        5.2   6.8ms   25.8ms       0
    10ms  default    zstd   820536    205.8       35.6        5.79        7.3   7.8ms   35.1ms       0
