exp-17b — linger x codec with the producer flat out
date: 2026-09-22-021622
client: franz-go v1.22.0
load: as fast as the client's 10 000-record buffer allows, for 10s per cell, acks=all, 6 partitions, RF 3
payload: 200 000 generated payment events, seeded, generated before the sweep and cycled
host: Apple M1 Pro, 10 CPUs; brokers share it

  linger    batch   codec  acked/s  MB/s in  MB/s wire  wire ratio  CPU ms/MB     p50      p99  failed
      0s  default    none   288746     72.4       72.4        1.00        5.6  15.9ms  626.6ms       0
      0s  default  snappy   631961    158.5       47.3        3.35        4.7   6.4ms   22.7ms       0
      0s  default     lz4   683855    171.5       48.5        3.53        5.2     6ms     21ms       0
      0s  default    zstd   677765    170.0       29.4        5.78        7.5   6.6ms   49.7ms       0
    10ms  default    none   355859     89.3       89.3        1.00        5.0    18ms  459.2ms       0
    10ms  default  snappy   589556    147.9       44.1        3.35        4.6   6.8ms  233.4ms       0
    10ms  default     lz4   406933    102.1       28.9        3.54        5.3   7.8ms    234ms       0
    10ms  default    zstd   743605    186.5       32.2        5.79        7.2   6.8ms   19.6ms       0
