exp-17 — linger x batch size x codec under a fixed load
date: 2026-09-21-235508
client: franz-go v1.22.0
offered: 20000 records/s for 10s per cell, acks=all, 6 partitions, RF 3
payload: generated payment JSON, seeded, identical for every cell

  linger    batch   codec  offered/s   drain  failed     p50     p99  rec/batch  bytes/rec  wire ratio
      0s    16KiB    none      20000   3.7ms       0   3.2ms  27.3ms        4.6        250        1.00
      0s    16KiB  snappy      19989   2.8ms       0   3.1ms   132ms        4.8        119        2.10
      0s    16KiB     lz4      19968   1.7ms       0   2.2ms  12.2ms        4.7        121        2.07
      0s    16KiB    zstd      19999   3.9ms       0   2.1ms  10.3ms        5.3         81        3.08
      0s  default    none      19999   3.9ms       0   2.5ms  30.9ms        5.0        250        1.00
      0s  default  snappy      19989   3.4ms       0   2.7ms  11.2ms        4.3        124        2.01
      0s  default     lz4      19890   4.2ms       0     3ms  19.9ms        4.5        123        2.04
      0s  default    zstd      19968   2.4ms       0   2.7ms  31.1ms        5.9         78        3.22
     5ms    16KiB    none      19829   2.1ms       0   6.8ms    16ms       22.8        250        1.00
     5ms    16KiB  snappy      19669   3.9ms       0   6.9ms  16.5ms       22.5         88        2.83
     5ms    16KiB     lz4      19869   1.4ms       0   6.7ms  17.7ms       23.0         86        2.92
     5ms    16KiB    zstd      19768   3.3ms       0     7ms  15.6ms       23.3         53        4.76
     5ms  default    none      19898   3.9ms       0   6.8ms    15ms       22.6        250        1.00
     5ms  default  snappy      19878   1.8ms       0   6.8ms    14ms       23.3         88        2.84
     5ms  default     lz4      19959     2ms       0   6.6ms  14.4ms       22.9         86        2.91
     5ms  default    zstd      19815   3.1ms       0   6.8ms  15.6ms       23.4         52        4.78
    10ms    16KiB    none      19953   2.7ms       0   8.6ms  18.9ms       35.4        250        1.00
    10ms    16KiB  snappy      19915   1.9ms       0   8.7ms  18.7ms       36.4         84        2.96
    10ms    16KiB     lz4      19889   1.5ms       0   9.4ms  19.4ms       34.9         82        3.06
    10ms    16KiB    zstd      19779   1.3ms       0   9.8ms    21ms       37.7         48        5.19
    10ms  default    none      19939   5.9ms       0   8.9ms    21ms       34.4        250        1.00
    10ms  default  snappy      19889   2.8ms       0   9.1ms  20.7ms       36.0         84        2.96
    10ms  default     lz4      19869   1.7ms       0   8.6ms  22.1ms       35.1         82        3.06
    10ms  default    zstd      19753   4.9ms       0  10.5ms    21ms       37.6         48        5.18
    50ms    16KiB    none      19898     5ms       0  11.9ms  25.3ms       39.9        250        1.00
    50ms    16KiB  snappy      19949   2.9ms       0  11.8ms  24.4ms       40.1         84        2.99
    50ms    16KiB     lz4      19997   4.6ms       0  11.7ms  23.9ms       40.1         80        3.12
    50ms    16KiB    zstd      19957   5.5ms       0  12.3ms  24.9ms       40.6         48        5.24
    50ms  default    none      19958   2.8ms       0  32.5ms  61.6ms      146.1        251        1.00
    50ms  default  snappy      19978   7.5ms       0  31.5ms  60.3ms      151.5         76        3.28
    50ms  default     lz4      19969  11.9ms       0  32.5ms  61.2ms      146.6         74        3.40
    50ms  default    zstd      19978  10.4ms       0  33.8ms  62.5ms      141.7         44        5.63
