exp-17 — linger x batch size x codec under a fixed load
date: 2026-09-22-015633
client: franz-go v1.22.0
offered: 20000 records/s for 10s per cell, acks=all, 6 partitions, RF 3
payload: generated payment JSON, seeded, identical for every cell

  linger    batch   codec  offered/s   drain  failed     p50     p99  rec/batch  bytes/rec  wire ratio
      0s    16KiB    none      19988   2.6ms       0     2ms  17.8ms        6.1        250        1.00
      0s    16KiB  snappy      19769   5.7ms       0   2.1ms  16.1ms        5.6        114        2.19
      0s    16KiB     lz4      19948   9.4ms       0     2ms  20.5ms        6.0        112        2.24
      0s    16KiB    zstd      19889   3.5ms       0   2.1ms    42ms        8.5         68        3.68
      0s  default    none      19998   2.4ms       0   1.9ms  11.9ms        5.6        250        1.00
      0s  default  snappy      19909   3.2ms       0   2.3ms  12.8ms        5.8        113        2.22
      0s  default     lz4      19968   1.5ms       0   2.4ms  26.5ms        6.5        109        2.28
      0s  default    zstd      19988   2.5ms       0   2.2ms    12ms        5.6         80        3.14
     5ms    16KiB    none      19989   4.2ms       0   6.7ms  12.7ms       22.1        250        1.00
     5ms    16KiB  snappy      19999   3.9ms       0   6.5ms  14.1ms       22.2         88        2.83
     5ms    16KiB     lz4      19958   3.9ms       0   6.7ms  13.1ms       22.0         86        2.91
     5ms    16KiB    zstd      19999   2.6ms       0   6.9ms  13.1ms       22.9         53        4.76
     5ms  default    none      19978   3.1ms       0   6.5ms  14.4ms       21.3        250        1.00
     5ms  default  snappy      19948   2.2ms       0   6.7ms  16.7ms       22.0         88        2.83
     5ms  default     lz4      19929   2.5ms       0   6.8ms  16.1ms       22.5         86        2.91
     5ms  default    zstd      19868   3.6ms       0   6.9ms    17ms       22.9         53        4.75
    10ms    16KiB    none      19938   1.5ms       0   8.6ms  20.8ms       35.7        250        1.00
    10ms    16KiB  snappy      19960   2.7ms       0     9ms  18.5ms       36.2         84        2.96
    10ms    16KiB     lz4      19968   2.9ms       0   8.5ms  18.8ms       36.1         81        3.07
    10ms    16KiB    zstd      19929     5ms       0   9.5ms  18.2ms       36.4         48        5.16
    10ms  default    none      19958   4.1ms       0   8.9ms  17.8ms       35.8        250        1.00
    10ms  default  snappy      19938   4.9ms       0   8.6ms  21.1ms       35.9         84        2.96
    10ms  default     lz4      19998   6.1ms       0   8.6ms  18.1ms       35.3         82        3.07
    10ms  default    zstd      19998   3.5ms       0     9ms  17.8ms       35.4         49        5.15
    50ms    16KiB    none      19989   1.7ms       0  11.8ms  26.2ms       39.4        250        1.00
    50ms    16KiB  snappy      19988   2.4ms       0  11.7ms  24.2ms       39.4         84        2.99
    50ms    16KiB     lz4      19969   4.6ms       0    12ms  24.3ms       40.0         80        3.12
    50ms    16KiB    zstd      19888   3.9ms       0  12.2ms  26.1ms       39.7         48        5.23
    50ms  default    none      19759   4.5ms       0  32.7ms  63.4ms      147.2        251        1.00
    50ms  default  snappy      19879   2.6ms       0    33ms  63.3ms      152.5         76        3.28
    50ms  default     lz4      19988   6.6ms       0  32.1ms  59.7ms      144.0         74        3.39
    50ms  default    zstd      19879  12.2ms       0  33.2ms  64.1ms      150.9         44        5.64
